month_year,org_code,adult_inpatients,rate_per_million
April 2021,All,1825,42
April 2021,QU9,45,33
April 2021,QNQ,10,18
April 2021,QRL,50,33
April 2021,QSL,10,18
April 2021,QNX,50,38
May 2021,All,1845,42
May 2021,QU9,45,35
May 2021,QNQ,10,21
May 2021,QRL,50,36
May 2021,QSL,10,18
May 2021,QNX,55,39
June 2021,All,1865,43
June 2021,QU9,45,35
June 2021,QNQ,15,25
June 2021,QRL,55,38
June 2021,QSL,10,18
June 2021,QNX,50,37
July 2021,All,1865,43
July 2021,QU9,50,37
July 2021,QNQ,15,25
July 2021,QRL,55,39
July 2021,QSL,10,18
July 2021,QNX,45,34
August 2021,All,1850,42
August 2021,QU9,50,38
August 2021,QNQ,15,23
August 2021,QRL,55,37
August 2021,QSL,10,18
August 2021,QNX,45,34
September 2021,All,1870,43
September 2021,QU9,40,32
September 2021,QNQ,15,27
September 2021,QRL,65,44
September 2021,QSL,10,18
September 2021,QNX,45,34
October 2021,All,1860,43
October 2021,QU9,45,33
October 2021,QNQ,15,27
October 2021,QRL,65,45
October 2021,QSL,10,18
October 2021,QNX,50,36
November 2021,All,1885,43
November 2021,QU9,45,33
November 2021,QNQ,15,28
November 2021,QRL,65,46
November 2021,QSL,10,18
November 2021,QNX,45,34
December 2021,All,1880,43
December 2021,QU9,45,34
December 2021,QNQ,20,34
December 2021,QRL,60,42
December 2021,QSL,15,36
December 2021,QNX,45,32
January 2022,All,1855,42
January 2022,QU9,45,33
January 2022,QNQ,20,32
January 2022,QRL,65,45
January 2022,QSL,15,31
January 2022,QNX,45,32
February 2022,All,1850,42
February 2022,QU9,40,31
February 2022,QNQ,20,32
February 2022,QRL,60,42
February 2022,QSL,15,29
February 2022,QNX,45,32
March 2022,All,1810,41
March 2022,QU9,45,33
March 2022,QNQ,20,32
March 2022,QRL,60,41
March 2022,QSL,15,31
March 2022,QNX,45,33
April 2022,All,1805,41
April 2022,QU9,45,36
April 2022,QNQ,20,34
April 2022,QRL,60,41
April 2022,QSL,10,27
April 2022,QNX,45,34
May 2022,All,1820,42
May 2022,QU9,50,38
May 2022,QNQ,20,32
May 2022,QRL,60,43
May 2022,QSL,10,27
May 2022,QNX,45,33
June 2022,All,1805,41
June 2022,QU9,50,38
June 2022,QNQ,15,28
June 2022,QRL,55,39
June 2022,QSL,15,29
June 2022,QNX,45,32
July 2022,All,1790,41
July 2022,QU9,45,33
July 2022,QNQ,15,28
July 2022,QRL,55,39
July 2022,QSL,15,29
July 2022,QNX,40,30
August 2022,All,1780,41
August 2022,QU9,45,33
August 2022,QNQ,15,30
August 2022,QRL,55,38
August 2022,QSL,15,31
August 2022,QNX,40,31
September 2022,All,1780,41
September 2022,QU9,50,36
September 2022,QNQ,20,32
September 2022,QRL,60,40
September 2022,QSL,15,29
September 2022,QNX,40,31
October 2022,All,1810,41
October 2022,QU9,50,39
October 2022,QNQ,20,32
October 2022,QRL,60,42
October 2022,QSL,15,34
October 2022,QNX,40,30
November 2022,All,1810,41
November 2022,QU9,55,40
November 2022,QNQ,20,35
November 2022,QRL,60,41
November 2022,QSL,15,34
November 2022,QNX,45,32
December 2022,All,1825,42
December 2022,QU9,55,43
December 2022,QNQ,20,32
December 2022,QRL,65,44
December 2022,QSL,15,31
December 2022,QNX,45,32
January 2023,All,1825,42
January 2023,QU9,55,43
January 2023,QNQ,15,30
January 2023,QRL,60,42
January 2023,QSL,15,31
January 2023,QNX,45,33
February 2023,All,1845,42
February 2023,QU9,55,40
February 2023,QNQ,20,32
February 2023,QRL,60,41
February 2023,QSL,15,31
February 2023,QNX,45,33
March 2023,All,1845,42
March 2023,QU9,50,37
March 2023,QNQ,20,32
March 2023,QRL,60,40
March 2023,QSL,10,27
March 2023,QNX,45,33
April 2023,All,1825,42
April 2023,QU9,50,36
April 2023,QNQ,15,30
April 2023,QRL,60,40
April 2023,QSL,10,27
April 2023,QNX,40,31
May 2023,All,1820,42
May 2023,QU9,45,35
May 2023,QNQ,15,30
May 2023,QRL,60,40
May 2023,QSL,10,27
May 2023,QNX,45,32
June 2023,All,1825,42
June 2023,QU9,45,35
June 2023,QNQ,20,34
June 2023,QRL,60,42
June 2023,QSL,10,27
June 2023,QNX,45,33
July 2023,All,1845,42
July 2023,QU9,45,35
July 2023,QNQ,25,46
July 2023,QRL,60,43
July 2023,QSL,10,27
July 2023,QNX,45,33
August 2023,All,1840,42
August 2023,QU9,45,36
August 2023,QNQ,25,44
August 2023,QRL,60,42
August 2023,QSL,15,31
August 2023,QNX,45,32
September 2023,All,1840,42
September 2023,QU9,50,37
September 2023,QNQ,30,50
September 2023,QRL,65,44
September 2023,QSL,15,34
September 2023,QNX,45,33
October 2023,All,1825,41
October 2023,QU9,50,37
October 2023,QNQ,25,44
October 2023,QRL,60,42
October 2023,QSL,15,33
October 2023,QNX,45,33
November 2023,All,1820,41
November 2023,QU9,50,37
November 2023,QNQ,20,39
November 2023,QRL,60,41
November 2023,QSL,15,33
November 2023,QNX,40,30
December 2023,All,1830,41
December 2023,QU9,50,37
December 2023,QNQ,25,40
December 2023,QRL,60,42
December 2023,QSL,15,38
December 2023,QNX,40,30
January 2024,All,1825,41
January 2024,QU9,45,35
January 2024,QNQ,25,40
January 2024,QRL,65,45
January 2024,QSL,15,38
January 2024,QNX,45,33
February 2024,All,1835,41
February 2024,QU9,60,46
February 2024,QNQ,20,39
February 2024,QRL,65,45
February 2024,QSL,15,35
February 2024,QNX,45,34
March 2024,All,1820,41
March 2024,QU9,60,45
March 2024,QNQ,20,39
March 2024,QRL,60,41
March 2024,QSL,15,35
March 2024,QNX,45,33
,All,,
,QU9,55.0,42.0
,QNQ,20.0,37.0
,QRL,60.0,41.0
,QSL,15.0,38.0
,QNX,45.0,33.0
,All,,
,QU9,55.0,40.0
,QNQ,20.0,33.0
,QRL,65.0,46.0
,QSL,15.0,31.0
,QNX,45.0,33.0
June 2024,All,1815,41
June 2024,QU9,50,39
June 2024,QNQ,20,32
June 2024,QRL,65,46
June 2024,QSL,15,33
June 2024,QNX,45,33
July 2024,All,1835,41
July 2024,QU9,55,40
July 2024,QNQ,25,40
July 2024,QRL,70,47
July 2024,QSL,15,31
July 2024,QNX,45,33
August 2024,All,1825,41
August 2024,QU9,50,38
August 2024,QNQ,25,40
August 2024,QRL,70,47
August 2024,QSL,15,35
August 2024,QNX,45,33
